term	gene
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	DDC
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SLC6A3
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	ACACA
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	PRKACG
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	CUBN
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	VAMP2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	PRKAA1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	PRKAA2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	PIK3R2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	DAG1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	pcap
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	CACNG1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	HEL-S-182mP
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	GOT2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	CDO1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	PIK3CD
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	EGFR
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	AKT3
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	raptor
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	PIK3R4
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	DEPTOR
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	ATG101
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	RB1CC1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	MLST8
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	WIPI2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	AKT1S1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	REN
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	HTR2B
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	HEL-S-72
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	HTR2A
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	GRM2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	GRM4
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	GRM8
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	PIG59
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	GRIA2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	GLS2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SLC17A6
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	AKR1B1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	DKFZp686O15119
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	GRIN2B
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	DAGLA
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	GRIN3B
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	CYP2C19
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	CYP2C9
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	PRKCZ
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	GRIN3A
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	CNR2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	PRKAR1B
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	PRKAR1A
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	DKFZp434N101
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	CNR1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	DKFZp434A091
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	DAGLB
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	AANAT
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	MAOA
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	TDO2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	HDC
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	PAH
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	AADAT
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	ASMT
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	KYNU
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	hCG_23341
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	DBH
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	KYAT1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	IDO2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	KMO
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	PTEN
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	HOMER3
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	HEL-S-90n
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	NADSYN1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SIRT3
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	NMNAT1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	HOMER1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	HOMER2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	AKR1C1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	GRIA3
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	GRIA4
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	GAD1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	DLG2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	DLG4
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	GRIN1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SNAP25
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SLC6A1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SLC6A2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	ABAT
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	GPHN
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SCN11A
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	MTOR
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SCN1A
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	TAAR1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	HCFC1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SCN10A
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	MTHFD2L
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	HPRT1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	MMADHC
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	IF2F
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	TPH2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	MAPKAP1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SYP
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	STXBP1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	AGMO
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SCN3B
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SCN3A
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	CBLIF
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	HEL-S-165mP
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	CCT6A
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	PRKCB
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	TCN1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	GKAP1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SHANK1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	ATG2A
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	NLGN1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	PRKCA
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SCN2A
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SCN2B
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	CD320
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	WDR45
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	DLGAP1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	CACNG2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	DLGAP3
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	DLGAP2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SLC18A1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	DLGAP4
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	GABBR1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SLC32A1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SLC46A1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	AMPD1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	GAD2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	MTRR
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	APRT
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	KIT
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	ST1A5
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	MTR
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	KCNA1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	KCNA2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	DKFZp727E011
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	PLCG2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	KCNA3
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	KCNA4
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	KCNA5
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	KCNA6
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	KCNA7
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	PTS
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	RICTOR
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	AOC1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	MOCOS
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	MAT1A
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	MTHFD1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	RIT2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	MTHFD2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	ADGRL3
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	hCG_40733
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SHMT1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	GRIP1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	STK11
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SESN1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	HEL-S-51e
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SCN9A
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	DKFZp564M2422
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SESN2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SLC25A40
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	CBS
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	PDGFRA
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	GRIP2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SLC19A1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SCN8A
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	CACNA1C
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	CPLX1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	HEL-S-44
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	DHFR
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	ABL2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	FLJ00308
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	CTH
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	CNTN5
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SYT1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SLC52A2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	CYP3A4
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SLC52A3
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SLC52A1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	FOLR2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	DLG5
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	FOLR1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	CNTN1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	ALPL
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	CNTN2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	ALPI
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	CNTN3
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	CNTN4
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	CNTNAP3
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	ABCD4
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	CNTNAP1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	NGLY1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	OXT
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	GRM3
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	ALDH2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SPR
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	HTR1E
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	GRM6
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	HTR1F
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	RP11-479E16.1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	AOX1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	HTR1D
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	HEL-S-1a
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SCN5A
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	HTR3E
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	HTR4
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	HTR3C
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	WIPI1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	HTR3B
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	HTR6
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	LMBRD1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	HTR7
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SCN4A
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SLC25A12
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SHANK2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	DRD2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	ALDH9A1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	NLGN3
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	NLGN2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	DRD4
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	NRXN1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	DRD5
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	NRXN3
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	OXTR
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	NRXN2
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	CACNG6
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	CACNG7
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	CACNG8
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	MC4R
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	SCN7A
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	NCAM1
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250210%WP5420%HOMO SAPIENS	PCBD1
MIR TARGETED GENES IN LYMPHOCYTES%WIKIPATHWAYS_20250210%WP2004%HOMO SAPIENS	SLC25A32
